grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Ilidža,78,2,3,centralno,0,0,0,2,230000
Sarajevo - Centar,53,prizemlje,2,plin,0,1,0,0,156000
Vogošća,53,2,3,struja,0,0,0,2,156000
Ilidža,68,4,3,centralno,0,1,0,2,200000
Sarajevo - Novo Sarajevo,114,5,četverosoban,centralno,0,1,0,2,335000
Sarajevo - Stari Grad,97,4,3,ostalo,0,0,0,1,285000
Sarajevo - Novi Grad,63,3,3,centralno,0,1,0,1,184900
Vogošća,67,3,3,plin,1,0,1,0,196200
Sarajevo - Centar,53,3,2,centralno,0,1,0,0,155000
Ilidža,61,4,3,plin,0,0,0,0,178000
Sarajevo - Novo Sarajevo,96,5,5,centralno,0,1,0,1,280000
Sarajevo - Novo Sarajevo,96,5,5,centralno,0,1,0,2,280000
Sarajevo - Novo Sarajevo,72,19,3,centralno,1,1,0,2,210000
Sarajevo - Novi Grad,59,2,2,centralno,1,0,0,0,172000
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,2,198000
Sarajevo - Novi Grad,56,4,2,centralno,0,0,0,2,163000
Ilidža,67,8,2,centralno,1,1,0,2,195000
Sarajevo - Novi Grad,55,5,2,centralno,0,0,0,2,160000
Sarajevo - Novo Sarajevo,54,5,2,centralno,0,0,0,2,157000
Sarajevo - Stari Grad,86,1,3,struja,0,1,0,2,250000
Sarajevo - Centar,90,prizemlje,3,centralno,0,1,0,0,261000
Sarajevo - Novo Sarajevo,76,20+,četverosoban,centralno,1,1,0,0,220000
Sarajevo - Novo Sarajevo,76,20+,četverosoban,centralno,1,1,0,2,220000
Sarajevo - Novi Grad,55,4,2,centralno,0,1,0,1,159000
Sarajevo - Novi Grad,54,1,2,centralno,1,1,0,0,156000
Ilidža,52,4,2,plin,1,1,0,0,150000
Sarajevo - Centar,59,2,2,drva,0,1,0,0,170000
Ilidža,69,2,3,centralno,1,1,1,1,198000
Ilidža,110,1,5,centralno,0,1,1,0,315000
Ilidža,94,2,četverosoban,centralno,0,0,0,2,269000
Ilidža,77,10,3,centralno,1,0,0,1,220000
Sarajevo - Novi Grad,70,8,3,centralno,1,1,0,2,200000
Ilidža,70,4,3,centralno,0,0,0,1,200000
Sarajevo - Novi Grad,56,4,2,centralno,0,1,0,2,159900
Sarajevo - Novi Grad,72,8,3,centralno,1,1,0,2,205000
Sarajevo - Novi Grad,58,1,2,centralno,1,1,0,1,165000
Ilidža,58,prizemlje,2,centralno,1,1,0,0,165000
Sarajevo - Novi Grad,73,4,3,centralno,0,1,0,0,207000
Vogošća,60,3,3,plin,0,1,0,0,170000
Vogošća,53,visoko,2,struja,1,1,0,2,150000
Vogošća,75,prizemlje,3,plin,1,0,1,0,212240
Sarajevo - Novi Grad,55,suteren,2,centralno,1,1,1,2,154999
Sarajevo - Novo Sarajevo,96,5,5,centralno,0,1,0,2,270000
Sarajevo - Novo Sarajevo,96,5,5,centralno,0,1,0,2,270000
Sarajevo - Novi Grad,69,3,3,centralno,0,1,0,2,193700
Vogošća,66,2,3,centralno,0,1,0,0,185000
Vogošća,75.8,prizemlje,3,centralno,1,0,1,0,212240
Sarajevo - Novi Grad,93,1,3,plin,1,1,0,0,260000
Sarajevo - Novo Sarajevo,86,3,četverosoban,centralno,0,0,1,0,240000
Sarajevo - Novi Grad,70,2,3,centralno,0,1,0,2,195000
Vogošća,54.4,7,3,struja,1,1,1,0,151500
Vogošća,55,1,3,centralno,1,1,1,0,152982
Ilidža,59,5,2,plin,0,0,0,2,164000
Ilidža,72,4,2,plin,0,1,0,2,200000
Sarajevo - Novi Grad,72,1,3,centralno,1,1,1,2,200000
Sarajevo - Novi Grad,57,4,2,centralno,1,1,0,0,158000
Ilidža,83,1,3,plin,0,1,0,0,230000
Sarajevo - Novi Grad,56,visoko,2,struja,0,0,0,2,155000
Sarajevo - Novi Grad,56,visoko,2,struja,0,0,0,0,155000
Sarajevo - Centar,90,visoko,2,centralno,0,1,0,0,249000
Sarajevo - Novo Sarajevo,85,5,3,centralno,0,1,0,0,235000
Sarajevo - Novo Sarajevo,76,1,2,centralno,0,1,0,1,210000
Sarajevo - Novo Sarajevo,76,1,2,struja,0,1,0,0,210000
Sarajevo - Novo Sarajevo,76,1,2,struja,0,1,0,0,210000
Sarajevo - Novo Sarajevo,76,1,2,struja,0,1,0,0,210000
Sarajevo - Centar,69,2,3,centralno,0,1,0,0,190000
Sarajevo - Novi Grad,69,visoko,3,centralno,1,0,0,1,190000
Vogošća,131,1,četverosoban,centralno,1,1,1,0,360000
Sarajevo - Novi Grad,69,2,3,centralno,0,0,0,2,189000
Sarajevo - Centar,121,2,četverosoban,plin,0,1,0,0,331000
Vogošća,79,1,četverosoban,centralno,1,1,1,0,215379
Sarajevo - Novi Grad,58,10,2,centralno,0,0,0,1,158000
Vogošća,101,6,četverosoban,plin,1,1,0,2,275000
Sarajevo - Novi Grad,68,4,2,plin,1,1,0,2,185000
Sarajevo - Novo Sarajevo,68,8,3,plin,1,1,1,0,184977
Vogošća,64,1,3,centralno,1,1,1,0,174015
Sarajevo - Novi Grad,71,6,3,centralno,1,1,0,1,193000
Ilidža,94,2,3,centralno,0,0,0,2,255000
Sarajevo - Novi Grad,66,13,3,centralno,1,1,0,1,179000
Sarajevo - Centar,57,2,3,struja,0,1,0,0,154000
Sarajevo - Novi Grad,105,8,četverosoban,centralno,1,1,0,2,283500
Sarajevo - Novo Sarajevo,100,5,3,centralno,0,1,0,0,270000
Sarajevo - Novi Grad,70,3,3,centralno,0,0,0,1,189000
Sarajevo - Novi Grad,70,3,3,centralno,0,1,0,1,189000
Sarajevo - Centar,70,3,3,centralno,0,1,0,1,189000
Sarajevo - Novo Sarajevo,59,visoko,2,centralno,0,1,0,1,159000
Hadžići,80,2,3,centralno,0,1,0,2,215000
Sarajevo - Novi Grad,67,1,3,centralno,0,0,0,0,180000
Sarajevo - Novi Grad,68,7,3,centralno,1,1,0,0,182500
Ilidža,81,prizemlje,3,plin,0,1,0,0,217000
Sarajevo - Novi Grad,56,12,2,centralno,1,1,0,0,150000
Sarajevo - Novi Grad,67,5,3,centralno,1,1,0,0,179000
Sarajevo - Centar,90,3,3,ostalo,0,1,0,0,240000
Sarajevo - Stari Grad,101,2,3,centralno,0,1,0,0,269000
Vogošća,71.5,7,3,centralno,1,1,1,0,190000
Ilidža,60,4,2,plin,0,1,0,2,159000
Vogošća,131,1,četverosoban,centralno,0,0,1,0,346625
Vogošća,70,4,2,struja,0,0,0,2,185000
Sarajevo - Centar,72,2,2,centralno,0,1,0,1,190000
Ilidža,58,3,2,plin,0,0,0,2,153000
Sarajevo - Centar,133,prizemlje,četverosoban,ostalo,1,1,0,0,350000
Sarajevo - Novo Sarajevo,76,1,2,struja,0,1,0,2,200000
Vogošća,131.5,1,četverosoban,plin,0,1,0,0,346000
Sarajevo - Novi Grad,78,8,3,centralno,1,1,0,1,205000
Vogošća,99,3,četverosoban,plin,1,1,0,2,260000
Vogošća,65.58,3,3,plin,1,1,1,0,170768
Vogošća,100,3,četverosoban,centralno,1,0,0,2,260000
Vogošća,69.13,1,3,plin,1,1,1,0,179738
Sarajevo - Novi Grad,62,4,2,centralno,0,0,0,1,161200
Ilidža,77,2,3,centralno,0,1,0,2,200000
Ilidža,77,2,3,centralno,0,1,0,2,200000
Sarajevo - Novi Grad,72,6,3,centralno,1,0,0,0,187000
Ilidža,81,prizemlje,3,plin,0,1,0,2,210000
Sarajevo - Novo Sarajevo,85,4,četverosoban,centralno,0,1,0,2,220000
Sarajevo - Novo Sarajevo,62,1,3,centralno,0,0,0,0,160000
Sarajevo - Novi Grad,70,3,3,centralno,0,1,0,0,179900
Sarajevo - Novo Sarajevo,74,prizemlje,3,plin,0,1,0,2,190000
Sarajevo - Novo Sarajevo,74,prizemlje,3,plin,0,1,0,2,190000
Ilidža,84,4,3,centralno,0,0,0,1,215000
Sarajevo - Novi Grad,72,3,3,centralno,0,1,0,2,184000
Sarajevo - Stari Grad,74,visoko,3,plin,0,1,0,2,188700
Sarajevo - Stari Grad,74,visoko,3,plin,0,1,0,2,188700
Sarajevo - Stari Grad,74,visoko,3,plin,0,1,0,0,188700
Sarajevo - Stari Grad,74,visoko,3,plin,0,1,0,0,188700
Ilidža,128,7,četverosoban,centralno,1,1,0,2,325000
Sarajevo - Novo Sarajevo,106,5,četverosoban,centralno,0,1,0,0,269000
Sarajevo - Centar,106,5,3,centralno,0,1,0,1,269000
Sarajevo - Novi Grad,77,4,3,centralno,0,1,0,0,195000
Sarajevo - Centar,154,4,3,plin,0,0,0,2,389500
Sarajevo - Novi Grad,87,prizemlje,četverosoban,centralno,0,1,0,1,220000
Sarajevo - Novo Sarajevo,106,5,3,plin,0,0,0,2,268000
Vogošća,86,1,četverosoban,centralno,1,1,1,0,217125
Vogošća,71,4,3,centralno,0,1,0,0,179000
Sarajevo - Centar,135,5,četverosoban,struja,0,0,0,0,340000
Sarajevo - Novi Grad,88,4,3,centralno,0,1,0,1,221000
Sarajevo - Novi Grad,88,4,3,centralno,0,1,0,1,221000
Sarajevo - Novi Grad,88,4,3,centralno,0,1,0,0,221000
Sarajevo - Centar,130,3,3,centralno,0,1,0,2,325000
Ilidža,128,6,četverosoban,plin,1,1,0,2,320000
Hadžići,114,1,četverosoban,struja,1,0,0,0,285000
Ilidža,84,3,2,struja,1,0,1,0,210000
Vogošća,80,2,3,struja,0,1,0,2,200000
Sarajevo - Novi Grad,77,11,3,centralno,1,1,0,1,192500
Sarajevo - Stari Grad,74,prizemlje,3,plin,0,1,0,1,185000
Sarajevo - Novi Grad,74,suteren,3,centralno,0,0,1,2,185000
Sarajevo - Novi Grad,72,4,3,centralno,0,1,0,0,180000
Sarajevo - Novi Grad,77,visoko,3,centralno,0,1,0,0,192000
Sarajevo - Novo Sarajevo,114,8,četverosoban,centralno,1,1,0,2,283500
Sarajevo - Novi Grad,62,5,3,centralno,0,1,0,1,153000
Sarajevo - Novi Grad,77,12,četverosoban,centralno,1,1,0,0,190000
Sarajevo - Novi Grad,75,4,3,centralno,0,1,0,0,185000
Vogošća,63,3,2,drva,0,1,0,2,155000
Ilidža,80,1,3,plin,0,1,0,0,196000
Sarajevo - Novi Grad,78,1,3,centralno,0,1,0,2,190000
Sarajevo - Novi Grad,70,1,3,centralno,0,1,0,0,170000
Vogošća,66,4,2,struja,1,1,1,0,160000
Sarajevo - Novo Sarajevo,69,prizemlje,3,plin,0,1,1,0,167000
Sarajevo - Stari Grad,74,visoko,3,plin,0,1,0,2,179000
Sarajevo - Novi Grad,72,visoko,3,centralno,1,1,0,1,174000
Sarajevo - Novo Sarajevo,69.3,prizemlje,3,centralno,0,1,1,0,167000
Sarajevo - Novo Sarajevo,69.3,prizemlje,3,plin,0,1,1,0,167000
Sarajevo - Novo Sarajevo,69.3,prizemlje,3,centralno,0,1,1,0,167000
Vogošća,100,3,3,centralno,0,1,1,2,240000
Sarajevo - Stari Grad,155,3,5,centralno,0,1,0,1,370000
Sarajevo - Novo Sarajevo,105,3,3,centralno,0,1,0,1,250000
Ilidža,63,5,3,plin,0,1,1,0,150000
Vogošća,99,4,3,struja,1,0,1,2,235000
Sarajevo - Novi Grad,67,3,3,centralno,0,1,0,0,159000
Sarajevo - Novo Sarajevo,105,3,3,plin,0,1,0,1,249000
Sarajevo - Novi Grad,76,-3,3,centralno,1,1,0,0,180000
Sarajevo - Stari Grad,101,2,3,plin,0,1,0,1,239000
Ilidža,85,2,3,plin,0,1,0,2,200000
Vogošća,85.39,5,3,centralno,0,0,0,2,199500
Sarajevo - Novi Grad,86,prizemlje,četverosoban,centralno,0,1,0,0,200000
Sarajevo - Novi Grad,112,3,5,centralno,0,1,0,1,260000
Ilidža,84,4,3,centralno,0,0,0,1,195000
Vogošća,82,5,3,struja,0,1,0,2,190000
Vogošća,80,4,3,centralno,0,1,0,2,184000
Sarajevo - Novo Sarajevo,70,3,četverosoban,struja,0,1,0,0,161000
Sarajevo - Novi Grad,87,prizemlje,četverosoban,centralno,0,1,0,1,200000
Ilidža,96,3,3,plin,0,1,0,2,220000
Ilidža,73.5,2,3,ostalo,0,1,1,0,166980
Sarajevo - Novi Grad,93,3,3,centralno,0,1,0,0,209000
Vogošća,89,4,3,centralno,1,1,1,1,199900
Sarajevo - Novi Grad,76,3,3,centralno,0,1,0,0,169900
Sarajevo - Novi Grad,85,3,četverosoban,centralno,0,1,0,0,190000
Sarajevo - Novi Grad,112,3,5,centralno,0,1,0,0,250000
Ilidža,92,4,četverosoban,centralno,0,1,0,0,205000
Sarajevo - Novi Grad,80,1,četverosoban,centralno,0,0,0,0,178000
Ilidža,72,2,3,centralno,0,1,0,2,159000
Sarajevo - Novi Grad,74,1,3,centralno,0,1,0,0,163000
Vogošća,76,prizemlje,3,centralno,0,1,0,0,165000
Vogošća,76,prizemlje,3,centralno,1,1,0,0,165000
Vogošća,76,prizemlje,3,centralno,1,1,0,0,165000
Vogošća,76,prizemlje,3,plin,1,1,0,0,165000
Ilidža,92,2,3,struja,0,0,0,0,199025
Ilidža,80,1,3,struja,0,1,1,0,172700
Sarajevo - Novi Grad,130,3,četverosoban,plin,0,1,0,2,280000
Ilidža,92.57,2,3,struja,0,1,1,0,199025
Ilidža,92.6,1,3,struja,0,1,1,0,199025
Sarajevo - Centar,105,2,3,ostalo,0,1,0,2,225000
Sarajevo - Novi Grad,85,3,četverosoban,centralno,0,0,0,0,179000
Sarajevo - Novo Sarajevo,85,1,3,plin,0,0,0,2,179000
Sarajevo - Novo Sarajevo,90,1,3,struja,0,1,0,0,189000
Ilidža,89,1,3,centralno,0,1,0,2,185000
Sarajevo - Stari Grad,145,prizemlje,5,centralno,0,1,0,2,300000
Sarajevo - Novi Grad,93,1,četverosoban,plin,0,1,1,0,191552
Sarajevo - Novi Grad,100,9,četverosoban,centralno,1,1,0,2,205000
Sarajevo - Novi Grad,78,7,četverosoban,centralno,1,1,0,2,159000
Ilidža,87,3,3,struja,0,0,0,0,174740
Sarajevo - Novi Grad,87,3,3,struja,0,1,0,0,174740
Hadžići,78,1,3,centralno,0,1,0,2,156000
