grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Ilidža,59,4,2,centralno,1,1,0,2,250000
Ilidža,85,3,četverosoban,centralno,0,1,0,2,359900
Sarajevo - Centar,56,1,3,plin,0,0,0,2,237000
Sarajevo - Centar,69,1,3,centralno,0,0,0,2,292000
Sarajevo - Centar,90,2,četverosoban,plin,1,0,0,0,380000
Sarajevo - Novo Sarajevo,90,1,četverosoban,plin,0,1,0,0,379900
Sarajevo - Novo Sarajevo,70,11,3,centralno,1,0,0,0,295000
Sarajevo - Novo Sarajevo,70,6,2,centralno,1,0,0,0,295000
Sarajevo - Novo Sarajevo,70,5,četverosoban,plin,0,0,0,2,295000
Sarajevo - Novo Sarajevo,49,2,2,centralno,0,0,1,1,206000
Sarajevo - Centar,74,2,3,centralno,0,1,1,0,310926
Sarajevo - Novo Sarajevo,91.63,6,3,centralno,1,1,0,2,385000
Sarajevo - Centar,95,2,3,plin,0,0,0,0,399000
Sarajevo - Centar,71,1,3,centralno,0,0,0,0,298000
Sarajevo - Centar,56,1,3,plin,0,1,0,2,235000
Sarajevo - Novi Grad,62,11,2,centralno,1,1,0,2,260000
Sarajevo - Novo Sarajevo,57,4,2,centralno,0,1,0,1,239000
Sarajevo - Stari Grad,42,prizemlje,1.5,plin,0,0,0,2,176000
Sarajevo - Novo Sarajevo,62,6,3,struja,1,1,0,2,259000
Sarajevo - Centar,84,prizemlje,četverosoban,plin,0,1,0,2,350000
Ilidža,84,4,četverosoban,centralno,0,0,0,0,350000
Sarajevo - Novo Sarajevo,54,2,2,centralno,0,0,0,0,225000
Sarajevo - Novi Grad,95,8,četverosoban,centralno,1,1,0,1,395000
Sarajevo - Novo Sarajevo,71,11,3,centralno,1,0,0,1,295000
Sarajevo - Novo Sarajevo,71,11,3,centralno,1,1,0,0,295000
Ilidža,86.92,4,3,centralno,1,0,1,0,361021
Sarajevo - Novi Grad,49.37,4,2,centralno,1,0,1,1,205000
Sarajevo - Novi Grad,78,2,3,centralno,1,1,1,1,323000
Sarajevo - Novi Grad,78,6,3,centralno,1,0,0,2,322000
Sarajevo - Novo Sarajevo,68,7,3,plin,0,1,0,2,280000
Sarajevo - Novo Sarajevo,51,4,2,plin,0,1,0,2,210000
Ilidža,51,6,1,centralno,1,1,1,2,210000
Sarajevo - Novo Sarajevo,51,4,2,struja,0,1,0,2,210000
Sarajevo - Novi Grad,59,1,3,centralno,1,1,1,0,242760
Ilidža,90,1,3,struja,0,1,0,2,370000
Sarajevo - Novo Sarajevo,63,5,3,struja,1,1,0,0,259000
